# PD works (author d.<=1930) with a SINGLE Project Gutenberg id + P747, not yet done.
# Feed: python projects/isbn_cleanup/curate_pd_works.py --file output/pd_single_gutenberg_todo.txt --no-first-edition --save
Q3048987	1943(en/Text)	Louis Lambert
Q3050442	9504(en/Text)	Micah Clarke
Q3055213	1055(en/Text)	Twixt Land and Sea
Q3056735	56008(en/Text)	Mirèio
Q3058688	69751(en/Text)	An Essay on the Inequality of the Human Races
Q3078117	11450(fr/Text)	Like Death
Q3079804	176(en/Text)	Roderick Hudson
Q3080503	177(en/Text)	The American
Q308918	98(en/Text)	A Tale of Two Cities
Q3094928	1873(en/Text)	Gambara
Q3095005	26806(fr/Text)	Gamiani
Q3107447	1841(en/Text)	Z. Marcas
Q3121862	2428(en/Text)	An Essay on Man
Q313030	16575(en/Text)	The History of the Decline and Fall of the Ro
Q3141640	23428(en/Text)	The Conquest of Bread
Q3148901	650(en/Text)	Pictures from Italy
Q3151490	1202(en/Text)	Tales of Unrest
Q3177443	1161(en/Text)	Jerry of the Islands
Q318333	55639(fr/Text)	Daphnis and Chloe
Q3202134	26804(fr/Text)	Anti-Justine
Q3203413	2160(en/Text)	The Expedition of Humphry Clinker
Q3203517	2511(en/Text)	The History of Henry Esmond
Q3204182	15305(fr/Text)	The Influence of a Book
Q3206807	1196(en/Text)	La Bourse
Q3207959	11051(en/Text)	The Cruise of the Dazzler
Q3208395	469(en/Text)	La Duchesse de Langeais
Q3208695	30587(fr/Text)	
Q3209669	56646(fr/Text)	War of the Buttons
Q3210302	11495(fr/Text)	
Q3210327	1294(en/Text)	The Firm of Nucingen
Q3210330	11596(fr/Text)	La Maison Tellier
Q3211932	64599(en/Text)	The Princess Casamassima
Q3220430	60199(fr/Text)	Le Bestiaire ou Cortège d'Orphée
Q3221974	2123(en/Text)	The Crime of Sylvestre Bonnard
Q3222487	647(en/Text)	More New Arabian Nights: The Dynamiter
Q3222702	2182(en/Text)	The Marble Faun
Q3224130	3922(en/Text)	The Red Lily
Q3224650	6406(en/Text)	The Monastery
Q3224969	1460(en/Text)	The Black Dwarf
Q3225453	53247(fr/Text)	
Q3225979	58967(en/Text)	The Procurator of Judea
Q3232089	13848(fr/Text)	Les Diaboliques
Q3232887	344(en/Text)	The Merry Men and Other Tales and Fables
Q3234050	2415(en/Text)	The Mutiny of the Elsinore
Q3234271	839(en/Text)	New Arabian Nights
Q3235378	1344(en/Text)	Les Secrets de la princesse de Cadignan
Q3235605	29021(en/Text)	The Ridiculous Wishes
Q3235685	53247(fr/Text)	
Q326914	74(en/Text)	The Adventures of Tom Sawyer
Q3275960	14288(fr/Text)	Mademoiselle de Maupin
Q3281243	2726(en/Text)	Eight Cousins; or, The Aunt-Hill
Q3288936	28948(en/Text)	The Rainbow
Q3297737	1811(en/Text)	Massimilla Doni
Q329989	8117(en/Text)	Demons
Q3300215	2194(en/Text)	Mauprat
Q3307965	1730(en/Text)	Michael, Brother of Jerry
Q3319936	55167(fr/Text)	
Q3321615	50311(en/Text)	Mont-Oriol
Q333179	105(en/Text)	Persuasion
Q335315	2853(en/Text)	Quo Vadis
Q3358443	26820(fr/Text)	Ourika
Q338034	6470(fr/Text)	Le Ventre de Paris
Q3407659	27083(en/Text)	The Subjection of Women
Q3408612	2232(en/Text)	The Duchess of Malfi
Q3480554	18211(fr/Text)	Servitude et grandeur militaires
Q3485648	2305(en/Text)	A Set of Six
Q3486765	10977(en/Text)	The Grizzly King
Q3492113	423(en/Text)	Round the Red Lamp
Q3548866	1585(en/Text)	The Wrong Box
Q3548983	52642(en/Text)	King Lear of the Steppes
Q3549147	1456(en/Text)	An Episode Under the Terror
Q3561344	802(fr/Text)	Vittoria Accoramboni, duchess of Bracciano
Q3576767	3177(en/Text)	Roughing It
Q35783041	2190(de/Text)	
Q3606509	1169(en/Text)	Agesilaus
Q36097	7849(en/Text)	The Trial
Q3614013	675(en/Text)	American Notes
Q3629872	56621(en/Text)	Aurora Leigh
Q3655711	55236(it/Text)	Canti
Q3667379	935(en/Text)	Self-Help
Q3681191	2046(en/Text)	Clotel
Q3685905	2480(en/Text)	Under Western Eyes
Q3693562	60810(fr/Text)	Corinne ou l'Italie
Q3704079	65404(en/Text)	On Buildings
Q37620718	11467(nl/Text)	
Q3772100	63893(en; it/Text)	The Idiots
Q377466	1680(en/Text)	La Maison du Chat-qui-pelote
Q3790431	61209(it/Text)	I Robinson italiani
Q3792929	8455(en/Text)	The Saint
Q3793957	2377(en/Text)	The Son of the Wolf
Q3796263	2148(en/Text)	Landor's Cottage
Q3801664	1172(en/Text)	Hipparchicus
Q3815979	17013(es/Text)	Fortunata and Jacinta
Q3819605	1089(en/Text)	The Shadow and the Flash
Q3819971	1213(en/Text)	The Man That Corrupted Hadleyburg and Other S
Q3820043	21816(en/Text)	The Confidence-Man
Q3820779	4351(en/Text)	The English Constitution
Q3821271	10053(fr/Text)	The Vampire Countess
Q3822291	25180(it/Text)	
Q382282	26095(en/Text)	Constitution of the Athenians
Q3824668	21768(en/Text)	The Tragedy of the Korosko
Q3825485	30344(en/Text)	Roxana: The Fortunate Mistress
Q3832392	1640(en/Text)	Lilith
Q3837179	2437(en/Text)	They and I
Q384635	16820(fr/Text)	The Diary of a Chambermaid
Q3851863	15238(en/Text)	Mathilda
Q387480	479(en/Text)	Little Lord Fauntleroy
Q3882301	4045(en/Text)	Omoo
Q3885500	6354(en/Text)	Italian Hours
Q389933	6318(fr/Text)	The Miser
Q392147	1661(en/Text)	The Adventures of Sherlock Holmes
Q3940410	8726(en/Text)	Rome
Q3963990	31080(it/Text)	Sophonisba
Q4007947	2081(en/Text)	The Blithedale Romance
Q4009998	55849(en/Text)	Vérité
Q40157156	12447(fr/Text)	
Q40185	57303(es/Text)	The Divine Comedy
Q401954	1848(en/Text)	Montezuma's Daughter
Q404158	2130(en/Text)	Utopia
Q40591	61(en/Text)	The Communist Manifesto
Q4127106	746(en/Text)	Burning Daylight
Q41542	345(en/Text)	Dracula
Q4154269	561(en/Text)	The Farther Adventures of Robinson Crusoe
Q4180222	520(en/Text)	The Life and Adventures of Santa Claus
Q4197654	1160(en/Text)	The Game
Q421615	30779(fr/Text)	Les Aventures de Télémaque
Q42192620	63794(fr/Text)	The Man Who Married a Dumb Wife
Q42719846	17851(en/Text)	The History of Mary Prince
Q4354019	6317(en/Text)	Sailing Alone Around the World
Q4355403	18891(en/Text)	Dot and the Kangaroo
Q4395914	5148(en/Text)	Rodney Stone
Q4460113	93(en/Text)	Tom Sawyer, Detective
Q44701	969(en/Text)	The Tenant of Wildfell Hall
Q4517325	64908(en/Text)	What Is Art?
Q45192	3070(en/Text)	The Hound of the Baskervilles
Q451932	6648(de/Text)	Penthesilea
Q459842	17(en/Text)	Book of Mormon
Q460583	580(en/Text)	The Pickwick Papers
Q4656134	43469(en/Text)	A Counterfeit Presentment
Q4657268	4600(en/Text)	A Hazard of New Fortunes
Q4658949	20257(en/Text)	A Political Romance
Q4659461	13240(en/Text)	A Short Biographical Dictionary of English Li
Q4660060	2098(en/Text)	A Thief in the Night
Q4660769	32242(en/Text)	A Wonder-Book for Girls and Boys
Q466166	2347(en/Text)	The Adventure of the Dying Detective
Q4661765	4520(en/Text)	Aaron's Rod
Q466505	708(en/Text)	The Princess and the Goblin
Q4674957	1604(en/Text)	The Ebb-Tide. A Trio and a Quartette
Q4675044	322(en/Text)	St. Ives
Q468654	57477(hu/Text)	Slave of the Huns
Q469690	141(en/Text)	Mansfield Park
Q470844	6450(en/Text)	The Prairie
Q471715	1735(en/Text)	Sophist
Q472194	17396(en/Text)	The Secret Garden
Q4749187	495(en/Text)	Amy Foster
Q475063	2054(de/Text)	Iphigenia in Tauris
Q476871	215(en/Text)	The Call of the Wild
Q477508	121(en/Text)	Northanger Abbey
Q478537	17731(en/Text)	The Nigger of the 'Narcissus'
Q4792516	1895(en/Text)	Armadale
Q4803053	4507(en/Text)	As a Man Thinketh
Q4859885	3409(en/Text)	Barchester Towers
Q486727	1600(en/Text)	Symposium
Q48922	3747(it/Text)	Orlando Furioso
Q4926580	7890(en/Text)	Blind Love
Q493574	940(en/Text)	The Last of the Mohicans
Q499059	2344(en/Text)	The Adventure of the Cardboard Box
Q500688	2097(en/Text)	The Sign of Four
Q5029115	19500(en/Text)	Can You Forgive Her?
Q50949337	56301(es/Text)	Hacia una moral sin dogmas
Q510699	1951(en/Text)	The Coming Race
Q513017	1189(en/Text)	The Message
Q5160036	44881(en/Text)	Confessions of a Thug
Q5161083	7412(en/Text)	Coningsby: or, The New Generation
Q517172	767(en/Text)	Agnes Grey
Q5178818	24103(en/Text)	Cousin Henry
Q51880533	47293(en/Text)	Bird children, the little playmates of the fl
Q5193480	4212(en/Text)	Culture and Anarchy
Q520328	1591(en/Text)	Protagoras
Q523076	514(en/Text)	Little Women
Q5232968	67065(en/Text)	Exercitatio Anatomica de Motu Cordis et Sangu
Q5295444	11413(en/Text)	The Refugees
Q5295669	355(en/Text)	The Parasite
Q5337298	8223(en/Text)	Edgar Huntly
Q53592	12901(en/Text)	From the Earth to the Moon
Q5366603	56202(zh/Text)	Shi Yi Ji
Q5367777	25249(zh/Text)	Jìnsīlù
Q5378288	58938(en/Text)	English Hours
Q538574	48870(en/Text)	Vita Karoli Magni
Q5419729	9846(en/Text)	Excursions
Q5443477	3172(en/Text)	Fenimore Cooper's Literary Offenses
Q54548	57832(fr/Text)	Vathek
Q54639836	60908(en/Text)	A Diary from Dixie
Q548576	696(en/Text)	The Castle of Otranto
Q552238	7469(en/Text)	Daniel Deronda
Q558971	91(en/Text)	Tom Sawyer Abroad
Q559667	378(en/Text)	Tirant lo Blanc
Q56323182	5105(fr/Text)	Tartarin on the Alps
Q5642996	107(en/Text)	Far from the Madding Crowd
Q565638	963(en/Text)	Little Dorrit
Q5724235	1235(en/Text)	Captain Fracasse
Q5724762	40813(en/Text)	Smoke
Q574887	208(en/Text)	Daisy Miller
Q579794	7204(de/Text)	Beyond Good and Evil
Q58178849	31873(en/Text)	Heinrich von Ofterdingen
Q583705	1619(es/Text)	La Celestina
Q584729	1537(en/Text)	Pericles, Prince of Tyre
Q589197	20657(en/Text)	Tales from Shakspeare
Q600849	37005(en/Text)	The Devil's Elixirs
Q6014663	11030(en/Text)	Incidents in the Life of a Slave Girl
Q60221558	44255(fr/Text)	Histoires naturelles
Q60284880	5199(en/Text)	South
Q605921	942(en/Text)	Green Mansions
Q6062406	12352(en/Text)	Iola Leroy
Q607232	17516(fr/Text)	L'Argent
Q6115945	2786(en/Text)	Jack and Jill: A Village Story
Q612523	370(en/Text)	Moll Flanders
Q612570	39738(fr/Text)	Lelia
Q612836	599(en/Text)	Vanity Fair
Q615175	30486(en/Text)	Shirley
